rowid,loan_range,business_name,address,city,state,zip,naics_code,naics_desc,business_type,race_ethnicity,gender,veteran,non_profit,jobs_reported,date_approved,lender,min_value,max_value
9492,"e $150,000-350,000",RANDY COLE ENTERPRISES INC,7904 E CHAPARRAL RD Suite 101,SCOTTSDALE,AZ,85250,722511,Full-Service Restaurants,Corporation,Unanswered,Unanswered,Unanswered,,61,2020-04-15,First Fidelity Bank,150000,350000
9493,"e $150,000-350,000",RAPIDRAY LLC,1724 West 4th St,TEMPE,AZ,85281,621512,Diagnostic Imaging Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,24,2020-04-29,First-Citizens Bank & Trust Company,150000,350000
9494,"e $150,000-350,000","RAR VENTURES, LLC DBA CRECO RENTAL",919 W SILVERLAKE RD,TUCSON,AZ,85713,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,13,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9495,"e $150,000-350,000",RASCON INVESTMENTS INC,1310 W Prince Rd,TUCSON,AZ,85705,445110,Supermarkets and Other Grocery (except Convenience) Stores,Corporation,Unanswered,Unanswered,Unanswered,,45,2020-05-01,"Kabbage, Inc.",150000,350000
9496,"e $150,000-350,000",RAVEN OPERATIONS LLC,28170 N Alma School Parkway Ste 201,SCOTTSDALE,AZ,85262,561730,Landscaping Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,106,2020-05-20,Manufacturers and Traders Trust Company,150000,350000
9497,"e $150,000-350,000",RAWLINGS SPECIALTY CONTRACTING LLC,5811C Wagon Wheel Ln.,LAKESIDE,AZ,85929,237310,"Highway, Street, and Bridge Construction",Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,2020-04-27,"Zions Bank, A Division of",150000,350000
9498,"e $150,000-350,000",RAY ORTA CONSTRUCTION INC,3176 E 43RD ST,YUMA,AZ,85365,236220,Commercial and Institutional Building Construction,Corporation,Hispanic,Male Owned,Non-Veteran,,22,2020-04-11,Glacier Bank,150000,350000
9499,"e $150,000-350,000","RAY READY MIX, INC.",2402 S 55th Ave,PHOENIX,AZ,85043,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,13,2020-04-14,"Readycap Lending, LLC",150000,350000
9500,"e $150,000-350,000",RAYNA ENTERPRISES INC,15025 N 74TH STREET,SCOTTSDALE,AZ,85260,722511,Full-Service Restaurants,Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9501,"e $150,000-350,000","RAYON VENTURES, LLC",4949 W. Buckeye Rd,PHOENIX,AZ,85043,,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9502,"e $150,000-350,000",RB DEER VALLEY SENIORS LLC,"4500 N 32nd St,Suite 100F",PHOENIX,AZ,85018,623312,Assisted Living Facilities for the Elderly,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,2020-04-12,Cross River Bank,150000,350000
9503,"e $150,000-350,000",RBH CONSTRUCTION LLC,26509 S Hawes Rd,QUEEN CREEK,AZ,85142,236115,New Single-Family Housing Construction (except For-Sale Builders),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,2020-04-28,MidFirst Bank,150000,350000
9504,"e $150,000-350,000",RC AUTO CORPORATION,2001 PARKSIDE LN,PHOENIX,AZ,85027,441110,New Car Dealers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,18,2020-04-09,BMO Harris Bank National Association,150000,350000
9505,"e $150,000-350,000",RC TAYLOR INC,4600 N 7TH AVE,PHOENIX,AZ,85013,238990,All Other Specialty Trade Contractors,Corporation,Unanswered,Unanswered,Unanswered,,14,2020-05-03,"Bank of America, National Association",150000,350000
9506,"e $150,000-350,000","RCCM FOOD TOWN, INC.",13 N Santa Cruz,ELOY,AZ,85131,445110,Supermarkets and Other Grocery (except Convenience) Stores,Corporation,White,Female Owned,Non-Veteran,,,2020-04-28,Great Western Bank,150000,350000
9507,"e $150,000-350,000",RCD DEMOLITION LLC,151 W. Ventura St,TUCSON,AZ,85705,212321,Construction Sand and Gravel Mining,Limited  Liability Company(LLC),Hispanic,Male Owned,Non-Veteran,,42,2020-04-09,BBVA USA,150000,350000
9508,"e $150,000-350,000",RCP DEVELOPMENT INC.,1405 W. Harvard Ave.,GILBERT,AZ,85233,236115,New Single-Family Housing Construction (except For-Sale Builders),Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,16,2020-04-28,"Zions Bank, A Division of",150000,350000
9509,"e $150,000-350,000","RCS COUNTERTOPS, LLC",240 E COURY AVE STE 130 B1,MESA,AZ,85210,337110,Wood Kitchen Cabinet and Countertop Manufacturing,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,42,2020-04-28,Arizona Bank & Trust,150000,350000
9510,"e $150,000-350,000",RCS FINANCIALS INC,809 Aqua Ave,PAGE,AZ,86040,541214,Payroll Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,82,2020-05-01,Bank of the West,150000,350000
9511,"e $150,000-350,000","RDC SERVICES, INC.",3411 S 44TH ST,PHOENIX,AZ,85040,423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",Corporation,Unanswered,Unanswered,Unanswered,,20,2020-04-15,First International Bank & Trust,150000,350000
9512,"e $150,000-350,000",RDMG ENTERPRISES LLC,1440 S HIGLEY RD STE 108,GILBERT,AZ,85296,812112,Beauty Salons,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,16,2020-04-30,"Alerus Financial, National Association",150000,350000
9513,"e $150,000-350,000","RE'EM HOLDINGS, INC.","3900 E Camelback Rd, Ste. 140",PHOENIX,AZ,85018,561499,All Other Business Support Services,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,0,2020-04-29,Comerica Bank,150000,350000
9514,"e $150,000-350,000","RE-CREATION RETREAT, LLC",465 South Main,FREDONIA,AZ,86022,531390,Other Activities Related to Real Estate,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,34,2020-04-07,State Bank of Southern Utah,150000,350000
9515,"e $150,000-350,000","READY-TO-ROLL, INC.",6815 W CACTUS RD,PEORIA,AZ,85381,485991,Special Needs Transportation,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,165,2020-04-27,First International Bank & Trust,150000,350000
9516,"e $150,000-350,000",REAL ROOTER PLUMBING INC.,3190 N FREEWAY INDUSTRIAL LOOP,TUCSON,AZ,85705,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation,Unanswered,Unanswered,Unanswered,,25,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9517,"e $150,000-350,000",REALTY EXECUTIVES INTL. SVCS. LLC.,668 N. 44TH ST Ste 123,PHOENIX,AZ,85008,531210,Offices of Real Estate Agents and Brokers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,2020-04-10,Enterprise Bank & Trust,150000,350000
9518,"e $150,000-350,000",REALTY SIGN & SUPPLY COMPANY,2629 MCDOWELL RD,PHOENIX,AZ,85008,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Corporation,Unanswered,Unanswered,Unanswered,,20,2020-04-09,"Bank of America, National Association",150000,350000
9519,"e $150,000-350,000",REBORN PROPERTIES LLC,12140 e barbary coast rd,TUCSON,AZ,85749,236118,Residential Remodelers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,1,2020-04-15,Bank of the West,150000,350000
9520,"e $150,000-350,000",REBOUND PHYSICAL THERAPY INC,349 W GLENEAGLES DRIVE,PHOENIX,AZ,85023,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Corporation,Unanswered,Male Owned,Non-Veteran,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9521,"e $150,000-350,000","RECEPTIONHQ, LLC",2600 N CENTRAL AVE,PHOENIX,AZ,85004,561110,Office Administrative Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,36,2020-06-08,First International Bank & Trust,150000,350000
9522,"e $150,000-350,000",RECOVERY EMPOWERMENT NETWORK,212 E OSBORN RD STE 210,PHOENIX,AZ,85012,813110,Religious Organizations,Limited Liability Partnership,Unanswered,Unanswered,Unanswered,,0,2020-04-30,BBVA USA,150000,350000
9523,"e $150,000-350,000","RECREATION RESOURCE MANAGEMENT OF AMERICA, INC.",5925 WAGON WHEEL LN,LAKESIDE,AZ,85929,721211,RV (Recreational Vehicle) Parks and Campgrounds,Corporation,Unanswered,Male Owned,Unanswered,,150,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9524,"e $150,000-350,000","RECREATIONAL MARKETING, INC.","2627 W. Birchwood Circle, #3",MESA,AZ,85202,541990,"All Other Professional, Scientific, and Technical Services",Corporation,Unanswered,Unanswered,Unanswered,,24,2020-04-30,WebBank,150000,350000
9525,"e $150,000-350,000",RECUR360 TECHNOLOGIES LLC,5023 E LUCIA DR,CAVE CREEK,AZ,85331,999990,Unclassified,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,8,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9526,"e $150,000-350,000",RED CANYON ENTITIES LLC,1471 N ARIZONA AVE,CHANDLER,AZ,85225,423990,Other Miscellaneous Durable Goods Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9527,"e $150,000-350,000","RED EYE RADIATOR & DPF SPECIALISTS, LLC",1201 E VALENCIA RD,TUCSON,AZ,85706,811112,Automotive Exhaust System Repair,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,2020-04-29,Horizon Community Bank,150000,350000
9528,"e $150,000-350,000",RED FOX PARCEL SERVICE CORPORATION,10512 W ODEUM LN,TOLLESON,AZ,85353,492210,Local Messengers and Local Delivery,Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9529,"e $150,000-350,000",RED HAWK RANCH LLC,2316 E JENSEN ST,MESA,AZ,85213,112990,All Other Animal Production,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,2020-05-03,Cross River Bank,150000,350000
9530,"e $150,000-350,000",RED MOUNTAIN AIR CONDITIONING LLC.,1661 N. QUAIL,MESA,AZ,85205,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,19,2020-04-04,Unison Bank,150000,350000
9531,"e $150,000-350,000",RED MOUNTAIN LIGHTING & ENERGY,5402 South 40th Street,PHOENIX,AZ,85040,238210,Electrical Contractors and Other Wiring Installation Contractors,Subchapter S Corporation,Unanswered,Male Owned,Non-Veteran,,25,2020-05-01,Northeast Bank,150000,350000
9532,"e $150,000-350,000","RED MOUNTAIN MEDIA GROUP, LLC",701 N Golden Key Street,GILBERT,AZ,85233,518210,"Data Processing, Hosting, and Related Services",Corporation,White,Female Owned,Non-Veteran,,33,2020-04-14,First-Citizens Bank & Trust Company,150000,350000
9533,"e $150,000-350,000",RED MOUNTAIN SERVICES,2618 N Ogden cir,MESA,AZ,85215,236118,Residential Remodelers,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,29,2020-04-14,MidFirst Bank,150000,350000
9534,"e $150,000-350,000",RED MOUNTAIN WOODWORKING AND DESIGN LLC,655 E 36TH AVE,APACHE JUNCTION,AZ,85119,238130,Framing Contractors,Limited  Liability Company(LLC),Unanswered,Male Owned,Veteran,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9535,"e $150,000-350,000",RED ROCK FEEDING CO,35414 Sasco Rd.,RED ROCK,AZ,85145,112112,Cattle Feedlots,Corporation,Unanswered,Unanswered,Unanswered,,31,2020-04-09,BMO Harris Bank National Association,150000,350000
9536,"e $150,000-350,000","RED ROCK TELECOMMUNICATIONS, LLC",3719 EAST LA SALLE ST,PHOENIX,AZ,85040,517312,Wireless Telecommunications Carriers (except Satellite),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,20,2020-04-13,"BOKF, National Association",150000,350000
9537,"e $150,000-350,000","RED ROOM 1, LLC",4740 E SHEA BLVD STE 104,PHOENIX,AZ,85028,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,0,2020-04-29,"Bank of America, National Association",150000,350000
9538,"e $150,000-350,000",RED SEA HEART CENTER PLC,610 Catalina Drive,YUMA,AZ,85364,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,9,2020-04-14,"Washington Federal Bank, National Association",150000,350000
9539,"e $150,000-350,000","RED WEDDING, LLC",15207 75TH ST N,SCOTTSDALE,AZ,85260,335121,Residential Electric Lighting Fixture Manufacturing,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,18,2020-05-03,"U.S. Bank, National Association",150000,350000
9540,"e $150,000-350,000",REDLINE ATHLETICS FRANCHISING LLC,8377 E HARTFORD DR STE 105,SCOTTSDALE,AZ,85255,713940,Fitness and Recreational Sports Centers,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,8,2020-05-03,"Bank of America, National Association",150000,350000
9541,"e $150,000-350,000",REDLINE ELECTRIC & SOLAR,125 W GEMINI DR STE 19-20,TEMPE,AZ,85283,238210,Electrical Contractors and Other Wiring Installation Contractors,Limited  Liability Company(LLC),Unanswered,Male Owned,Non-Veteran,,5,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9542,"e $150,000-350,000",REDLINE WINDOWS LLC,2632 North 37th Avenue,PHOENIX,AZ,85009,236118,Residential Remodelers,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,14,2020-04-15,"Readycap Lending, LLC",150000,350000
9543,"e $150,000-350,000",REDMOND CONSTRUCTION LLC,5902 Hwy 95 Ste 118,FORT MOHAVE,AZ,86426,236220,Commercial and Institutional Building Construction,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,28,2020-05-19,Horizon Community Bank,150000,350000
9544,"e $150,000-350,000","REDS PLASTERING, INC.",2317 S 15th Ave,PHOENIX,AZ,85007,238140,Masonry Contractors,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,22,2020-04-14,MidFirst Bank,150000,350000
9545,"e $150,000-350,000","REDWOOD ADMINISTRATIVE SERVICES, LLC",4025 E Huntington Dr. Ste 150,FLAGSTAFF,AZ,86004,524292,Third Party Administration of Insurance and Pension Funds,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,35,2020-04-15,Western Alliance Bank,150000,350000
9546,"e $150,000-350,000",REDWOOD INVESTMENT MANAGEMENT LLC,4110 N Scottsdale Rd Ste 125,SCOTTSDALE,AZ,85251,721110,Hotels (except Casino Hotels) and Motels,Limited  Liability Company(LLC),Unanswered,Unanswered,Non-Veteran,,15,2020-04-28,First Republic Bank,150000,350000
9547,"e $150,000-350,000",REED VETERINARY SERVICES. LLC,7320 N LA CHOLLA BLVD STE 114,TUCSON,AZ,85741,541940,Veterinary Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,25,2020-05-03,"Bank of America, National Association",150000,350000
9548,"e $150,000-350,000",REEDS CREW SERVICES INC,3291 E. COMBS RD,SAN TAN VALLEY,AZ,85140,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9549,"e $150,000-350,000","REEL STEEL, INC",2809 E DESERT COVE AVE,PHOENIX,AZ,85028,999990,Unclassified,Corporation,Unanswered,Unanswered,Unanswered,,14,2020-05-03,"Bank of America, National Association",150000,350000
9550,"e $150,000-350,000",REESE AND SONS TIRE INC,2435 E State Route 89A,COTTONWOOD,AZ,86326,441310,Automotive Parts and Accessories Stores,Corporation,Unanswered,Unanswered,Unanswered,,18,2020-04-16,Cross River Bank,150000,350000
9551,"e $150,000-350,000",REEVES FOUNDATION HUMAN SERVICE INC.,2030 W. Baseline Rd. #182-7005,PHOENIX,AZ,85041,623210,Residential Intellectual and Developmental Disability Facilities,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,33,2020-04-16,"Zions Bank, A Division of",150000,350000
9552,"e $150,000-350,000",REEVES PAPERHANGING INC,7650 E REDFIELD RD STE C1,SCOTTSDALE,AZ,85260,238320,Painting and Wall Covering Contractors,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,2020-04-29,BBVA USA,150000,350000
9553,"e $150,000-350,000",REGAL NOVA INT LLC,913 E Juanita Ave,MESA,AZ,85204,441320,Tire Dealers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,2020-04-28,Cross River Bank,150000,350000
9554,"e $150,000-350,000","REHAB BURGER THERAPY, LLC",7210 E 2ND ST,SCOTTSDALE,AZ,85251,621498,All Other Outpatient Care Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,30,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9555,"e $150,000-350,000","REHAB PARTNERS, LLC",7283 E EARLL DR Building B,SCOTTSDALE,AZ,85251,621420,Outpatient Mental Health and Substance Abuse Centers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,22,2020-04-14,Cornerstone National Bank & Trust Company,150000,350000
9556,"e $150,000-350,000",REHAB SERV,676 N STATE ROUTE 89A,SEDONA,AZ,86336,621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",Corporation,Unanswered,Unanswered,Unanswered,,30,2020-05-03,"Bank of America, National Association",150000,350000
9557,"e $150,000-350,000","REIDHEAD  PLUMBING, INC","2753 East Broadway Road, Suite 101-610",MESA,AZ,85204,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Corporation,Unanswered,Unanswered,Unanswered,,18,2020-05-03,"Zions Bank, A Division of",150000,350000
9558,"e $150,000-350,000",REJUVENATE INC,1981 North Pebble Creek Parkway,GOODYEAR,AZ,85395,561790,Other Services to Buildings and Dwellings,Corporation,Unanswered,Female Owned,Non-Veteran,,0,2020-05-03,Cross River Bank,150000,350000
9559,"e $150,000-350,000",RELENTLESSBEATS LLC,3200 N Central Ave STE 2450,PHOENIX,AZ,85028,711320,"Promoters of Performing Arts, Sports, and Similar Events without Facilities",Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,13,2020-04-11,"Zions Bank, A Division of",150000,350000
9560,"e $150,000-350,000","RELEVATE, LLC",2162 W ENFIELD WAY,CHANDLER,AZ,85286,236115,New Single-Family Housing Construction (except For-Sale Builders),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,7,2020-04-09,FirstBank,150000,350000
9561,"e $150,000-350,000","RELIABLE NURSES, LLC",537 N 6th Ave,TUCSON,AZ,85705,621610,Home Health Care Services,Limited  Liability Company(LLC),Unanswered,Female Owned,Non-Veteran,,45,2020-04-30,Customers Bank,150000,350000
9562,"e $150,000-350,000","RELIABLE RISK MANAGEMENT, LLC",8655 E Via De Ventura Sre G-255,SCOTTSDALE,AZ,85258,524210,Insurance Agencies and Brokerages,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,2020-04-07,"JPMorgan Chase Bank, National Association",150000,350000
9563,"e $150,000-350,000",RELIABLE STAFFING SOLUTIONS OF PIMA,3906 W Ina Rd Ste 200,TUCSON,AZ,85741,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Unanswered,Unanswered,,45,2020-04-14,"Readycap Lending, LLC",150000,350000
9564,"e $150,000-350,000","RELIANCE HOSPITALITY, LLC",2510 W DUNLAP AVE STE 250,PHOENIX,AZ,85021,999990,Unclassified,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9565,"e $150,000-350,000","RELUMINATION, LLC",2821 S 35TH ST #6,PHOENIX,AZ,85034,238210,Electrical Contractors and Other Wiring Installation Contractors,Corporation,Unanswered,Unanswered,Unanswered,,11,2020-04-15,"Alerus Financial, National Association",150000,350000
9566,"e $150,000-350,000",REMAX STEEL INC,11017 E VALLEJO ST,CHANDLER,AZ,85248,423510,Metal Service Centers and Other Metal Merchant Wholesalers,Non-Profit Organization,Unanswered,Unanswered,Unanswered,Y,0,2020-04-29,BBVA USA,150000,350000
9567,"e $150,000-350,000","REMOTE SOLUTIONS, LLC",2475 N JACKRABBIT AVE,TUCSON,AZ,85745,423830,Industrial Machinery and Equipment Merchant Wholesalers,Subchapter S Corporation,Unanswered,Male Owned,Unanswered,,18,2020-04-06,Commerce Bank of Arizona,150000,350000
9568,"e $150,000-350,000",RENAISSANCE PERSONNEL GROUP,10446 N 47th Street  Suite 230,SCOTTSDALE,AZ,85258,561320,Temporary Help Services,Corporation,White,Male Owned,Non-Veteran,,10,2020-04-15,Western Alliance Bank,150000,350000
9569,"e $150,000-350,000","RENE PRODUCE, LLC",895 E FRONTAGE ROAD 0.0,RIO RICO,AZ,85648,424480,Fresh Fruit and Vegetable Merchant Wholesalers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,17,2020-04-10,"JPMorgan Chase Bank, National Association",150000,350000
9570,"e $150,000-350,000",RENEE A. HANSON CFP,7010 E CHAUNCEY LN STE 200,PHOENIX,AZ,85054,,,Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,7,2020-05-03,"Bank of America, National Association",150000,350000
9571,"e $150,000-350,000","RENOVO AUTOMOTIVE SERVICES, INC.",290 E. OCOTILLO RD,CHANDLER,AZ,85249,811111,General Automotive Repair,Corporation,White,Female Owned,Veteran,,15,2020-04-13,Third Coast Bank SSB,150000,350000
9572,"e $150,000-350,000",RENTAL RENOVATORS INC,3855 W. GLENDALE AVE.,PHOENIX,AZ,85051,532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,Corporation,Unanswered,Unanswered,Unanswered,,,2020-05-03,"Wells Fargo Bank, National Association",150000,350000
9573,"e $150,000-350,000","RENTALS AMERICA ARIZONA LLC, FORMERLY MARCEAU REAL ESTATE, L",4711 E FALCON DR STE 221,MESA,AZ,85215,,,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,27,2020-05-03,"Bank of America, National Association",150000,350000
9574,"e $150,000-350,000","REPNET, INC",5001 36TH ST S,PHOENIX,AZ,85040,238220,"Plumbing, Heating, and Air-Conditioning Contractors",Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,12,2020-05-03,"U.S. Bank, National Association",150000,350000
9575,"e $150,000-350,000","REPRODUCTIONS, INC.",234 East 6th Street,TUCSON,AZ,85705,453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),Sole Proprietorship,Unanswered,Male Owned,Non-Veteran,,23,2020-04-14,"Readycap Lending, LLC",150000,350000
9576,"e $150,000-350,000","REPWORKS MARKETING, LLC",1745 S ALMA SCHOOL RD STE 260,MESA,AZ,85210,541613,Marketing Consulting Services,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,14,2020-04-15,"JPMorgan Chase Bank, National Association",150000,350000
9577,"e $150,000-350,000","RESEARCH COLLECTIVE, LLC",2141 E. Broadway Rd. Suite 201,TEMPE,AZ,85282,541713,Research and Development in Nanotechnology,Corporation,Unanswered,Unanswered,Unanswered,,9,2020-04-15,Arizona Bank & Trust,150000,350000
9578,"e $150,000-350,000",RESEARCH FOR LIFE LLC,2230 E. Magnolia St.,PHOENIX,AZ,85034,621991,Blood and Organ Banks,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,25,2020-04-08,First-Citizens Bank & Trust Company,150000,350000
9579,"e $150,000-350,000",RESIDENTIAL FACILITY HOLDINGS LLC,4635 W. McDowell Rd. Suite 110,PHOENIX,AZ,85035,531110,Lessors of Residential Buildings and Dwellings,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,32,2020-04-08,KS StateBank,150000,350000
9580,"e $150,000-350,000",RESILIENT DRILLING SERVICES LLC,2615 S 40TH ST STE B,PHOENIX,AZ,85034,237110,Water and Sewer Line and Related Structures Construction,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,15,2020-05-03,"Bank of America, National Association",150000,350000
9581,"e $150,000-350,000","RESILIENT INSTALLATIONS, LLC",41296 West Jenna Lane,MARICOPA,AZ,85138,561312,Executive Search Services,Sole Proprietorship,Unanswered,Female Owned,Non-Veteran,,24,2020-04-13,"Readycap Lending, LLC",150000,350000
9582,"e $150,000-350,000","RESOLUTE COMMERCIAL SERVICES, LLC",7201 E CAMELBACK RD,SCOTTSDALE,AZ,85251,531210,Offices of Real Estate Agents and Brokers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,10,2020-04-08,FirstBank,150000,350000
9583,"e $150,000-350,000","RESONEA, INC.","11445 East Via Linda, Suite #2 Box 224",SCOTTSDALE,AZ,85259,541715,"Research and Development in the Physical, Engineering, and Life Sciences (except Nanotechnology and Biotechnology)",Corporation,Unanswered,Unanswered,Unanswered,,12,2020-04-14,MidFirst Bank,150000,350000
9584,"e $150,000-350,000",RESORTSCAPES INC,PO Box 2800,CAREFREE,AZ,85377,721110,Hotels (except Casino Hotels) and Motels,Subchapter S Corporation,Unanswered,Unanswered,Unanswered,,11,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9585,"e $150,000-350,000","RESTAURANT COLLECTION, LLC",3209 E CAMELBACK RD,PHOENIX,AZ,85018,722511,Full-Service Restaurants,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,2020-04-05,Bell Bank,150000,350000
9586,"e $150,000-350,000",RESTAURANT SINALOA INC,45 W BROADWAY RD,MESA,AZ,85210,722511,Full-Service Restaurants,Corporation,Unanswered,Unanswered,Unanswered,,0,2020-04-30,"Wells Fargo Bank, National Association",150000,350000
9587,"e $150,000-350,000",RESTORATIONHQ LLC,3610 E Wier Avenue,PHOENIX,AZ,85040,236220,Commercial and Institutional Building Construction,Limited  Liability Company(LLC),White,Male Owned,Non-Veteran,,18,2020-04-10,"Zions Bank, A Division of",150000,350000
9588,"e $150,000-350,000",RESURRECTION LUTHERAN CHURCH OF ORO VALLEY,11575 N 1ST AVE,TUCSON,AZ,85737,813110,Religious Organizations,Corporation,Unanswered,Unanswered,Unanswered,,35,2020-05-01,"JPMorgan Chase Bank, National Association",150000,350000
9589,"e $150,000-350,000",RETAIL PROPERTY SERVICES LLC,22838 N ROMO LOOP,PHOENIX,AZ,85027,812320,Drycleaning and Laundry Services (except Coin-Operated),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,33,2020-07-14,"Bank of America, National Association",150000,350000
9590,"e $150,000-350,000",RETINA SPECIALISTS OF SOUTHERN ARIZONA,4753 E Camp Lowell dr,TUCSON,AZ,85712,621111,Offices of Physicians (except Mental Health Specialists),Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,,2020-04-29,The Northern Trust Company,150000,350000
9591,"e $150,000-350,000",REV'D UP INC,727 E MARYLAND AVE,PHOENIX,AZ,85014,541512,Computer Systems Design Services,Corporation,Unanswered,Male Owned,Non-Veteran,,14,2020-04-08,"BOKF, National Association",150000,350000
9592,"e $150,000-350,000",REVELUTION HOLDINGS LLC,8721 E INDIAN BEND RD,SCOTTSDALE,AZ,85250,541110,Offices of Lawyers,Limited  Liability Company(LLC),Unanswered,Unanswered,Unanswered,,38,2020-04-07,BBVA USA,150000,350000
