combined_type	seqnos	calltype	responsible_company	responsible_org_type	responsible_city	responsible_state	responsible_zip	source	date_received	date_complete	description_of_incident	type_of_incident	incident_cause	incident_dtg	incident_location	location_address	location_street1	location_nearest_city	location_state	location_county	location_zip	potential_flag	distance_from_location	incident_date	incident_time	has_lat_long	fire_involved	any_evacuations	any_injuries	number_injured	any_fatalities	number_fatalities	any_damages	air_corridor_closed	waterway_closed	road_closed	media_interest	medium_desc	body_of_water	release_secured	desc_remedial_action	weather_conditions	water_supply_contaminated	additional_info	state_agency_notified	federal_agency_notified	az_incident
ALL TABLES	1053642	INC	US AIRWAYS	PRIVATE ENTERPRISE	PHOENIX	AZ	85034	TELEPHONE	2013-07-12	2013-07-12	CALLER STATED THAT THERE WAS A RELEASE OF 25 GALLONS OF JET A FUEL FROM AN AIRCRAFT. THE CAUSE WAS DUE TO EQUIPMENT MALFUNCTION.	AIRCRAFT	EQUIPMENT FAILURE	OCCURRED		3400 EAST SKY HARBOR BLVD		PHOENIX	AZ	MARICOPA	85034	N		2013-07-11	23:50:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	STORM DRAIN	Y	BOOMS APPLIED, ABSORBENTS APPLIED	OVERCAST	U	CALLER WILL NOTIFY THE ADEQ			Y
ALL TABLES	1053646	INC	CITY OF PHOENIX AVIATION DEPT.	LOCAL GOVERNMENT	PHOENIX	AZ		TELEPHONE	2013-07-12	2013-07-12	CALLER STATED THAT ONE OF THEIR GRADERS THAT WAS WORKING ON THE RIVER BED AREA HAD A HYDRAULIC LEAK AND DISCHARGED LESS THAN 5 GALLONS OF HYDRAULIC OIL ON THE (DRY) SALT RIVER.	MOBILE	EQUIPMENT FAILURE	OCCURRED		3400 WEST SKY HARBOR		PHOENIX	AZ	MARICOPA		N		2013-07-12	10:00:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	DUG UP THE MATERIAL AND TOOK CONFIRMATION SAMPLES.	SUNNY	U	WILL NOTIFY DEQ NEXT.			Y
ALL TABLES	1053650	INC	AMERI CHEM ENGINEERING	PRIVATE ENTERPRISE	PHEONIX	AZ		TELEPHONE	2013-07-12	2013-07-12	CALLER REPORTED THAT A DRUM OF MATERIAL REACTED WITH ANOTHER MATERIAL.	STORAGE TANK	OTHER	OCCURRED		3502 EAST BROADWAY ROAD		PHEONIX	AZ	MARICOPA		N		2013-07-12	11:15:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	CLEAN UPS HAVE BEEN CONDUCTED.	CLEAR	U		AZ DEQ, LOCAL FD		Y
ALL TABLES	1053860	INC		UNKNOWN		XX		TELEPHONE	2013-07-15	2013-07-15	CALLER IS REPORTING A DISCHARGE OF JET FUEL A FROM A STORAGE TANK DUE TO AN UNKNOWN CAUSE AT THIS TIME.	STORAGE TANK	UNKNOWN	OCCURRED	PHONIEX MESA GATEWAY AIRPORT	7630 VELOCITY WAY		MESA	AZ	MARICOPA		N		2013-07-15	06:30:00	N	N	N	N		N		N	N	N	N	UNKNOWN	OTHER		Y	CALLER STATES THE FIRE DEPT. WAS NOTIFIED AND THEY ARE STANDING BY TO GET THE FUEL OUT OF SECONDARY CONTAINMENT.	CLEAR	U		DEQ, LEPC		Y
ALL TABLES	1053896	INC	ASARCO	PRIVATE ENTERPRISE	HAYDEN	AZ	85235	TELEPHONE	2013-07-15	2013-07-15	"CALLER IS REPORTING A RELEASE OF ACID PLANT SCRUBBER BLOW-DOWN LIQUID   FROM A 4 INCH ""DRIFCO"" PIPELINE DUE TO A LOADER BUCKET THAT HIT THE PIPELINE AND RUPTURED IT.  CALLER STATES THE MATERIAL INVOLVED IN THE RELEASE IS ONLY REPORTABLE FOR ARSENIC AND LEAD AND THE TOTAL AMOUNT INVOLVED IN THE RELEASE IS 1,000 GALLONS."	PIPELINE	OPERATOR ERROR	OCCURRED	PRIMARY COPPER SMELTER	640 ASARCO AVENUE		HAYDEN	AZ	GILA	85235	N		2013-07-15	09:30:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	CALLER STATES AN ON-SITE CONTRACTOR RESPONDED AND SUCKED UP THE LIQUID AND CLEANED UP THE SOIL.  CLEANUP IS STILL UNDERWAY.	CLEAR	U	CALLER WILL NOTIFY THE DEPT. OF ENVIRONMENTAL QUALITY (DEQ).			Y
ALL TABLES	1053997	INC	SV TRANSPORT INC.	PRIVATE ENTERPRISE	SANTA ANA	CA	92703	TELEPHONE	2013-07-16	2013-07-16	CALLER STATED THERE WAS A SPILL OF 5-10 GALLONS OF DIESEL FROM THE SADDLE TANK OF A TRACTOR TRAILER TRUCK DUE TO A COLLISION.  CALLER STATED THE SPILL REACHED A STORM DRAIN.	MOBILE	TRANSPORT ACCIDENT	OCCURRED		INTERSTATE 10	MP 162	PHOENIX	AZ	MARICOPA		N		2013-07-15	18:30:00	N	N	N	U		N		N	N	N	N	UNKNOWN	WATER	STORM DRAIN	Y	CALLER STATED THE SPILL WAS STOPPED AND 20 GALLONS OF MICROBES WAS ENTERED INTO THE STORM DRAIN FOR CLEAN UP.		U	CALLER STATED AZ DEQ WILL BE CALLED NEXT.			Y
ALL TABLES	1054049	INC		PRIVATE CITIZEN	GRAND TERRACE	CA	92313	TELEPHONE	2013-07-16	2013-07-16	CALLER IS REPORTING THAT A VESSEL TOOK ON WATER AND PARTIALLY SUNK CAUSING A DISCHARGE OF GASOLINE (10-15 GALLONS) AND POSSIBLY MOTOR OIL.	VESSEL	VESSEL SINKING	DISCOVERED		501 BEACHCOMBER AVE.		LAKE HAVASU	AZ	MOHAVE		N		2013-07-16	13:07:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	LAKE HAVASU	Y	FUEL BOOM WAS REPLACED, VESSEL WAS PUMPED OUT AND REMOVED BY A SALVAGE COMPANY	OVERCAST	U	CALLER WILL NOTIFY AZ DEQ.			Y
ALL TABLES	1054440	INC	FREEPORT MAC MORAN MIAMI OPS	PRIVATE ENTERPRISE	CLAYPOOL	AZ	85532	TELEPHONE	2013-07-19	2013-07-19	CALLER STATED THAT THERE WAS A RELEASE OF 27 POUNDS OF NITROGEN DIOXIDE FROM A TANK AT THE ACID PLANT. THE CAUSE WAS DUE TO A HIGH FLOW EVENT.	STORAGE TANK	OTHER	OCCURRED		5701 NEW STREET		CLAYPOOL	AZ	GILA	85532	N		2013-07-19	11:42:00	N	N	N	N		N		N	N	N	N	UNKNOWN	AIR		Y	DIVERTED THE FLOW FROM THE TANK	PARTLY CLOUDY	U	CALLER WILL MAKE ADDITIONAL NOTIFICATIONS.			Y
ALL TABLES	1054743	INC	CITY OF KINGMAN	OTHER	KINGMAN	AZ		TELEPHONE	2013-07-22	2013-07-22	CALLER REPORTED THAT WHILE DOING WORK AN OLD COAL SLURRY PIPE WAS FOUND AND STRUCK WHICH CAUSE A RELEASE OF 5000 GALLONS OF WHAT APPEARED TO BE WATER. SAMPLES WERE TAKEN TO VERIFY ANY CONTAMINANTS.	FIXED	OPERATOR ERROR	OCCURRED		ROOSEVELT STREET AND	GORDON ROAD	KINGMAN	AZ	MOHAVE		N		2013-07-22	13:30:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		N	PLACED A BERM FOR THE WATER.	CLEAR	U				Y
ALL TABLES	1055207	INC		UNKNOWN		XX		TELEPHONE	2013-07-26	2013-07-26	CALLER IS REPORTING A FATALITY, CALLER STATED THAT THERE IS A BODY THAT WAS FOUND ON THE TRACKS, THERE ARE LIMITED DETAILS FOR THIS REPORT.	RAILROAD NON-RELEASE	OTHER	OCCURRED	AT THE INTERSECTION OF SMITH APACHIE			TEMPE	AZ	MARICOPA		N		2013-07-26	12:40:00	N	N	N	N		Y	1	N	N	N	N	UNKNOWN	NON-RELEASE (N/A)		U	INVESTIGATION UNDERWAY	PARTLY CLOUDY	U		LOCAL POLICE		Y
ALL TABLES	1056005	INC		UNKNOWN		XX		TELEPHONE	2013-08-03	2013-08-03	CALLER IS REPORTING THAT THERE IS AN OIL OR FUEL SHEEN IN THE RIVER. THE LOCATION OF THE SHEEN IS 3 OR 4 MILES UP RIVER FROM SECTION 30 ROTARY PARK.	UNKNOWN SHEEN	UNKNOWN	DISCOVERED	UNKNOWN SHEEN INCIDENT			BULLHEAD CITY	AZ	MOHAVE		N		2013-08-03	06:00:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	COLORADO RIVER	U		CLEAR	U		FD		Y
ALL TABLES	1056204	INC	COOK PLUMBING	UNKNOWN		XX		TELEPHONE	2013-08-05	2013-08-05	CALLER STATED A PLUMBER MELTED THROUGH A GAS LINE AT A BOX IN A PRIVATE RESIDENCE WHILE SWEATING A PIPE ON.  CALLER ALSO STATED THAT THIS CAUSED  A RELEASE OF NATURAL GAS.	FIXED	OPERATOR ERROR	DISCOVERED		1876 BOARDWALK		PRESCOTT	AZ	YAVAPAI		N		2013-08-05	14:31:00	N	N	N	Y	2	N		N	N	N	N	UNKNOWN	AIR		Y	GAS LINE WAS SQUEEZED OFF AND REPAIRED.	UNKNOWN	U		AZ CORP COMMISSION, LOCAL FIRE AND PD		Y
ALL TABLES	1056206	INC	BROWN EVANS DISTRIBUTING COMPANY	PRIVATE ENTERPRISE	MESA	AZ	85211	TELEPHONE	2013-08-05	2013-08-05	CALLER STATED A TRUCK ROLLED OVER CAUSING A DISCHARGE OF MOTOR OIL AND HYDRAULIC OIL FROM TOTES  ONTO THE GROUND.  CALLER ALSO STATED THAT THE AMOUNT OF EACH OIL IS UNKNOWN BUT A TOTAL AMOUNT OF 1700 GALLONS COMBINED IS BEING ESTIMATED.	MOBILE	UNKNOWN	DISCOVERED		SILVERBELL ROAD	.75 OF A MILE WEST LUCKETT ROAD	MARANA	AZ	PIMA		N		2013-08-05	13:00:00	N	N	N	Y	1	N		N	N	N	Y	UNKNOWN	LAND		Y	PRODUCT WILL BE REMOVED AND SORBENTS WILL BE DEPLOYED.  EXCAVATION WILL BE DONE IN THE MORNING.	UNKNOWN	U		DOT PIMA COUNTY, LOCAL FIRE AND SHERIFFS		Y
ALL TABLES	1056349	INC	SWIFT TRANSPORTATION CORPORATION	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2013-08-07	2013-08-07	CALLER IS REPORTING THAT A FUEL TANK LINE WAS DAMAGED ON A TRUCK BY ROAD DEBRIS RESULTING IN A SPILL OF FUEL.	MOBILE	OTHER	OCCURRED		EAST I 78 EXIT 17		CLINTON	NJ	HUNTERDON		N		2013-08-07	06:00:00	N	N	N	N		N		N	N	N	N	NONE	WATER	STORM DRAINS	Y	CLEAN UP UNDERWAY, CONTRACTOR HAS BEEN HIRED.	CLEAR	U		NJ DEP		Y
ALL TABLES	1056595	INC	SWIFT TRANSPORTAITON	PRIVATE ENTERPRISE	PHOENIX	AZ		WEB REPORT	2013-08-09	2013-08-09	***WEB REPORT*** A BATTERY INSIDE OF A TRAILER RELEASED APPROXIMATELY ONE GALLON OF BATTERY ACID TO THE TRAILER FLOOR AND ASPHALT PARKING LOT.	MOBILE	UNKNOWN	DISCOVERED	SWIFT TRANSPORTATION TERMINAL	9000 BOOKEND ROAD		EDWARDSVILLE	KS	WYANDOTTE		N		2013-08-09	11:44:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	ERTS HAS DISPATCHED TWIN CREEK ENVIRONMENTAL TO THE SITE FOR REMEDIATION ACTIVITIES.		U	***WEB REPORT***	KANSAS DEPARTMENT OF HEALTH		Y
ALL TABLES	1056895	INC		UNKNOWN		XX		WEB REPORT	2013-08-12	2013-08-12	****WEB REPORT**** DFD WAS CALLED BY WAL-MART LOSS PREVENTION PERSONNEL IN REFERENCE TO A POSSIBLE DIESEL SPILL IN THEIR PARKING LOT. DFD RESPONDED AND FOUND A SLICK OF OIL OR DIESEL FUEL WHICH THEY SAID HAD LEAKED OUT OF A TRUCK WHICH WAS NO LONGER AT THE STORE.  ANOTHER CAR WAS PARKED IN THE SPOT AND THEY WERE WORRIED ABOUT POSSIBLE IGNITION OR DAMAGE TO THE NEW CAR.  DFD USED A COMMERCIAL ABSORBENT TO CLEAN UP WHAT WAS LEFT OF THE SPILL, WHICH WAS LESS THAN 1 LITER. THE SPILL HAD RUN INTO A STORM DRAIN, BUT WAS NO LONGER FLOWING AND IT DID NOT APPEAR THAT MUCH HAD GOTTEN INTO THE DRAIN.  CITY OF DOUGLAS PUBLIC WORKS WAS CONTACTED AND ADVISED OF THE SITUATION IN CASE THEY WANTED TO INVESTIGATE FURTHER.  THE ABSORBENT AND MATERIAL WERE SWEPT UP (APPROXIMATELY .5 CUBIC FEET OF MATERIAL) AND TAKEN BACK TO DFD FOR PROPER DISPOSAL.	MOBILE	UNKNOWN	DISCOVERED	DOUGLAS WAL-MART PARKING LOT ROM 8/9 NEAR STORM DRAIN	199 W. 5TH ST.		DOUGLAS	AZ	COCHISE	85607	N	0 MILES	2013-08-12	13:27:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	STORM DRAIN	U	COVERED SPILL ON LAND WITH ABORBENT AND SWEPT IT UP AND REMOVED IT. CALLED PUBLIC WORKS WITH INFORMATION SO THAT THEY COULD BE AWARE TO BE WATCHING FOR ANY MATERIAL OR CHECK THE DRAIN IN THE AREA.	CLEAR	U	****WEB REPORT****  IT IS NOT CLEAR HOW MUCH MATERIAL LEAKED, 1 GALLON IS A BEST ESTIMATE BASED ON THE CONDITIONS FOUND ON SCENE.  IT COULD BE MORE OR LESS.			Y
ALL TABLES	1056976	INC	KNIGHT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	TELEPHONE	2013-08-13	2013-08-13	CALLER IS REPORTING A DISCHARGE OF ANTI-FREEZE FROM A TRACTOR TRAILER TRUCK DUE TO A MULTI-VEHICLE ACCIDENT.	MOBILE	TRANSPORT ACCIDENT	OCCURRED	I-5 EXIT 134			TACOMA	WA	PIERCE		N		2013-08-13	13:00:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	STORM DRAIN	Y	PRO-VAC RESPONDING TO THE SITE.	UNKNOWN	U		WA DOE		Y
ALL TABLES	1057010	INC	NIGHT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ	85043	TELEPHONE	2013-08-13	2013-08-13	CALLER STATED THAT A VEHICLE HAD DISCHARGED DIESEL FUEL ONTO THE GROUND DUE TO UNKNOWN CAUSES.	MOBILE	UNKNOWN	DISCOVERED	TRI STAR YARD	2727 EDGEWOOD AVENUE NORTH		JACKSONVILLE	FL	DUVAL		N		2013-08-13	17:45:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		N	A BUCKET IS CATCHING THE RELEASE NOW UNTIL THE CONTRACTOR GETS ONSCENE TO PUMP THE REMAINING FUEL OUT AND EXCAVATE.	UNKNOWN	U				Y
ALL TABLES	1057016	INC	ASARCO, INC	PRIVATE ENTERPRISE	HAYDEN	AZ	85135	TELEPHONE	2013-08-13	2013-08-13	CALLER STATED THAT THERE WAS A RELEASE OF SULFURIC ACID ONTO THE GROUND FROM A PUMP ON THE FACILITY.	FIXED	EQUIPMENT FAILURE	DISCOVERED	RAY MINE	HWY 177			AZ	PINAL		N		2013-08-10	07:00:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	PUMP WAS REPAIRED AND THE ACID IS BEING CONTAINED.	UNKNOWN	U	DEQ WILL BE NOTIFIED NEXT.			Y
ALL TABLES	1057031	INC	KNIGHT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2013-08-13	2013-08-14	THE CALLER REPORTED THAT AN UNKNOWN MATERIAL (POSSIBLY DIESEL) DISCHARGED FROM A TRACTOR TRAILER TRUCK DUE TO A MULTI-VEHICLE ACCIDENT (SPECIFICS UNKNOWN). THE CALLER STATED THAT THERE WERE 5 INJURIES, 3 FATAL. INTERSTATE 25 HAS BEEN SHUT DOWN AS A RESULT OF THE ACCIDENT.	MOBILE	TRANSPORT ACCIDENT	OCCURRED	INTERSTATE 25, MILE 248			BERNALILLO	NM	SANDOVAL		N		2013-08-13	21:30:00	N	U	N	Y	5	Y	3	N	N	N	Y	UNKNOWN	UNKNOWN		U	A CONTRACTOR HAS BEEN DISPATCHED TO THE SCENE	UNKNOWN	U	THE REPORTING SOURCE HAD LIMITED INFORMATION.			Y
ALL TABLES	1057134	INC		UNKNOWN		XX		TELEPHONE	2013-08-14	2013-08-14	CALLER STATED THAT THERE WAS A RELEASE OF 10 POUNDS OF TRANSFORMER OIL FROM AN UNKNOWN SOURCE AT AN AIR FORCE BASE.  CALLER STATED THAT THE MATERIAL CONTAINS 57 PPM OF PCBS.  CALLER STATED THAT THE MATERIAL WAS IMPROPERLY PACKAGED FOR SHIPMENT.	STORAGE TANK	OTHER	OCCURRED		1522 EAST VICTORY STREET		PHOENIX	AZ	MARICOPA	85040	N		2013-08-13	14:43:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	CUT OUT THE ASPHALT	SUNNY	U			EPA	Y
ALL TABLES	1057311	INC	J.B.S.	PRIVATE ENTERPRISE	POLLESON	AZ		TELEPHONE	2013-08-16	2013-08-16	CALLER IS REPORTING A RELEASE OF ANHYDROUS AMMONIA AT THE FACILITY.	FIXED	EQUIPMENT FAILURE	OCCURRED		651 SOUTH 91ST AVE		POLLESON	AZ	MARICOPA		N		2013-08-16	10:15:00	N	N	Y	N		N		N	N	N	N	UNKNOWN	AIR		U		CLEAR	U		FD		Y
ALL TABLES	1057564	INC	NORTHWEST CARRIER EXPRESS LLC	PRIVATE ENTERPRISE	FEDERAL WAY	WA	98001	WEB REPORT	2013-08-19	2013-08-19	****WEB REPORT**** SINGLE COMMERCIAL VEHICLE INCIDENT INVOLVING FIRE, SADDLE TANK RELEASED BETWEEN 50 AND 75 GALLONS OF FUEL. RAIN WASHED SOME OF THE FUEL INTO A WASH.	MOBILE	UNKNOWN	OCCURRED	INTERSTATE 40 @ MM 81.5 EB SHOULDER	I 40 EB MM 81.5 EASTBOUND		KINGMAN	AZ	MOHAVE		N	80 MILES E	2013-08-18	12:00:00	N	Y	N	N		N		N	N	N	Y	UNKNOWN	SOIL		Y	DIKING AND BERMING. HEADING TO THE SITE TO FIND OUT THE AREA OF IMPACT NOW THAT THE RAIN HAS SUBSIDED	RAINY	U	DUE TO THE HEAVY RAINS SOME OF THE FUEL WENT INTO A WASH. CLEANUP CONTRACTOR WAS ASSIGNED THE SPILL THIS AM WILL BE HEADING UP TO ASSES THE SITUATION. ****WEB REPORT****	ADOT		Y
ALL TABLES	1057938	INC		UNKNOWN		XX		TELEPHONE	2013-08-22	2013-08-22	CALLER IS REPORTING A VEHICLE THAT WAS STRUCK BY A LIGHT RAIL VEHICLE TRAIN RESULTING IN 6 INJURIES.	RAILROAD	OTHER	OCCURRED	APACHIE BLVD AND LEBANON STREET			TEMPE	AZ	MARICOPA		Y		2013-08-22	11:34:00	N	N	N	Y	6	N		N	N	N	N	UNKNOWN	RAIL REPORT (N/A)		U	INVESTIGATION UNDERWAY	PARTLY CLOUDY	U		LOCAL POLICE, LOCAL FIRE		Y
ALL TABLES	1058102	INC	QUALITY CARRIERS	PRIVATE ENTERPRISE	TAMPA	FL	33610	TELEPHONE	2013-08-24	2013-08-24	CALLER IS REPORTING A LEAK OF ONE GALLON TRIFLUOROACETIC ACID (UN 2699) FROM AN ISO TANKER TRUCK.	MOBILE	UNKNOWN	OCCURRED		700 MIKES PIKE ST		WINSLOW	AZ	NAVAJO		N		2013-08-24	09:20:00	N	N	N	N		N		N	N	N	N	UNKNOWN	OTHER		Y	CLEAN UP UNDERWAY.	UNKNOWN	U				Y
ALL TABLES	1058562	INC	ARIZONA PUBLIC SERVICE COMPANY	PUBLIC UTILITY	PHOENIX	AZ	85072	WEB REPORT	2013-08-29	2013-08-29	***THIS REPORT WAS RECEIVED VIA THE WEB REPORTING SYSTEM*** ELECTRIC UTILITY POLE KNOCKED DOWN DURING THUNDERSTORM.  POLE HAS 3 ELECTRICAL TRANSFORMERS ON IT, ALL FELL INTO A DRY IRRIGATION CANAL.  AT LEAST ONE TRANSFORMER SPILLED CONTENTS (MINERAL OIL) INTO THE DRY CANAL.  PCB CONCENTRATION OF OIL IS UNKNOWN AT THIS TIME.	FIXED	OTHER	OCCURRED	UTILITY EASEMENT ON SIDE OF PUBLIC ROADWAY	5259 N. SARIVAL ROAD		LITCHFIELD PARK	AZ	MARICOPA	85340	N	1 MILES W	2013-08-28	23:29:00	Y	N	N	N	0	N		N	N	N	N	NONE	OTHER	IRRIGATION CANAL	Y	EMERGENCY RESPONSE CREW DISPATCHED SITE, ARRIVAL ESTIMATED TO BE 02:15 8/29/2013.  OIL WILL BE ABSORBED AND COLLECTED IN DRUMS.  SAMPLE OF OIL WILL BE OBTAINED TO DETERMINE IF PCBS ARE PRESENT.	RAINY	N	MINERAL OIL FROM ELECTRICAL TRANSFORMER RELEASED TO A DRY IRRIGATION CANAL AS A RESULT OF STORM DAMAGE TO THE UTILITY POLE.  PCB CONCENTRATION OF MINERAL OIL IS UNKNOWN AT THIS TIME. BASED ON OIL LAB RESULT FOR PCB CONTENT, ADDITIONAL CLEANUP MAY BE REQUIRED.	ADEQ		Y
ALL TABLES	1058926	INC		UNKNOWN		XX		TELEPHONE	2013-09-01	2013-09-01	THE CALLER IS REPORTING THE COLLISION OF TWO (2) RAIL CARS.  THE CALLER STATED THAT THE INCIDENT IS UNDER INVESTIGATION, CAUSE IS UNKNOWN.  NO INJURIES AND NO RELEASES REPORTED AT THIS TIME.	RAILROAD NON-RELEASE	UNKNOWN	OCCURRED		MP: 986	SD: GILA	TUCSON	AZ	PIMA		N		2013-09-01	19:00:00	N	N	N	N		N		U	N	N	N	UNKNOWN	RAIL REPORT (N/A)		U	INVESTIGATION UNDERWAY.	UNKNOWN	U		AZCC		Y
ALL TABLES	1058996	INC	SHAMROCK FOODS	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2013-09-03	2013-09-03	CALLER IS REPORTING A RELEASE OF UNKNOWN AMOUNT OF ANHYDROUS AMMONIA FROM THE ENGINE ROOM AT THE HIGH RISE, AN AUTOMATED REFRIGERATING WAREHOUSE.	FIXED	UNKNOWN	DISCOVERED		2540 NORTH 29TH AVE		PHOENIX	AZ	MARICOPA		N		2013-09-03	06:15:00	N	N	U	N		N		N	N	N	N	UNKNOWN	AIR		Y	CONTRACTORS ON SITE.	CLEAR	U				Y
ALL TABLES	1059100	INC	US XPRESS	PRIVATE ENTERPRISE	CHATTANOOGA	TN		WEB REPORT	2013-09-04	2013-09-04	///THIS REPORT WAS RECEIVED VIA THE WEB REPORTING TOOL./// A TRACTOR TRAILER PUNCTURED A SADDLE TANK WHICH RESULTED IN THE RELEASE OF APPROXIMATELY 30 GALLONS OF DIESEL FUEL TO THE ASPHALT PARKING LOT.  IT WAS REPORTED THAT NO STORM DRAINS OR WATERWAYS HAVE BEEN IMPACTED BY THE RELEASE.	MOBILE	EQUIPMENT FAILURE	OCCURRED	FLYING J	INTERSTATE 10 EXIT 1		EHRENBERG	AZ	LA PAZ		N		2013-09-03	23:15:00	N	N	N	N		N		N	N	N	N	UNKNOWN	LAND		Y	ERTS HAS COORDINATED A RESPONSE TO PERFORM REMEDIATION ACTIVITIES.		U	WEB REPORT	ARIZONA, DEQ, ARIZONA DPS		Y
ALL TABLES	1059223	INC	SWIFT TRANSPORTATION	PRIVATE ENTERPRISE	PHOENIX	AZ		TELEPHONE	2013-09-04	2013-09-04	CALLER STATED THAT THERE WAS A RELEASE OF DIESEL FUEL FROM THE REFER TANK TO ASPHALT PARKING LOT AS A RESULT OF ROAD DEBRIS.	MOBILE	OTHER	DISCOVERED		4000 142ND ST EAST		SUMNER	WA	PIERCE		N		2013-09-04	19:20:00	N	N	N	N		N		N	N	N	N	UNKNOWN	OTHER		Y	ABSORBENTS APPLIED.	UNKNOWN	U		WA DEC		Y
ALL TABLES	1059381	INC	CTI	PRIVATE ENTERPRISE	RILLITO	AR	85654	TELEPHONE	2013-09-06	2013-09-06	CALLER STATED THAT A SULFURIC SMOKE IS COMING FROM A TRAILER, (BELLY DUMP TRAILER). HOT SPOT CREATING HEAT THUS CREATING SMOKE.	MOBILE	UNKNOWN	DISCOVERED		US 60	MILE POST 123	MORRISTOWN	AZ	MARICOPA		N		2013-09-06	00:30:00	N	N	N	N		N		N	N	N	Y	LOW	AIR		Y	FIRE DEPARTMENT CAME OUT AND PUT WATER ON THE TRAILER.	SUNNY	U		LOCAL FIRE DEPT, AZ HAZMAT, STATE POLICE		Y
ALL TABLES	1059422	INC	REPUBLIC SERVICES	PRIVATE ENTERPRISE	PHOENIX	AZ	85054	TELEPHONE	2013-09-06	2013-09-06	CALLER IS REPORTING A RELEASE OF 1 GALLON OF HYDRAULIC FLUID FROM A GARBAGE TRUCK, THE CAUSE IS UNKNOWN.	MOBILE	UNKNOWN	OCCURRED		8160 SUNSET LANE		SYLVANIA	OH	LUCAS		N		2013-09-06	12:30:00	N	N	N	N		N		N	N	N	N	UNKNOWN	WATER	STORM DRAIN	U	CONTRACTOR HAS BEEN HIRED	UNKNOWN	U		OHEPA, LEPC		Y
ALL TABLES	1059608	INC	COPPER BASIN RAILWAY	PRIVATE ENTERPRISE	HAYDEN	AZ		TELEPHONE	2013-09-08	2013-09-08	CALLER STATED THAT WHILE RERAILING TWO LOCOMOTIVES, THE FUEL TANKS WERE RUPTURED ALLOWING APPROXIMATELY 4000 GALLONS OF DIESEL TO BE RELEASED ONTO THE GROUND.	RAILROAD	OTHER	OCCURRED	MP: 988.7			KELVIN	AZ	PINAL		N		2013-09-08	14:00:00	N	N	N	N		N		N	N	N	N	NONE	RAIL REPORT (N/A)		Y	BERMS WERE CONSTRUCTED AROUND THE RELEASE.	UNKNOWN	U		ACC		Y
ALL TABLES	1059695	INC		UNKNOWN		XX		WEB REPORT	2013-09-09	2013-09-09	***WEB REPORT***  A PERSON OR PERSONS PLATED A ROAD AND CONSTRUCTED DRAINAGE CROSSINGS WITH WASTE MATERIAL FROM CHRYSOTILE ASBESTOS MINES.  VISIBLE FIBERS ARE ON THE ROAD, NEXT TO THE ROAD, AND EXTENDING DOWN THE DRAINAGES.  THE ROAD IS APPROXIMATELY 0.8 MI AND AT LEAST 50% IS COVERED WITH ASBESTOS. LAB SAMPLES HAVE NOT BEEN TAKEN DUE TO OBVIOUS APPEARANCE AND TEXTURE.	FIXED	DUMPING	DISCOVERED	FOREST ROAD 202C, PLEASANT VALLEY RANGER DISTRICT, TONTO NATIONAL FOREST, AZ	FOREST ROAD 202C	PLEASANT VALLEY RD	YOUNG	AZ	GILA		N	25 MILES SE	2013-09-05	11:00:00	N	N	N	N		N		N	N	N	N	UNKNOWN	AIR		N	NONE YET. IDENTIFYING PRP AND EVALUATING POSSIBLE ACTIONS.	UNKNOWN	U	***WEB REPORT***			Y
